k99_0	Mastomys_natalensis_2	96.000	175	7	0	95	269	4	178	1.96e-79	285
k99_0	Mastomys_natalensis_1	98.137	161	3	0	109	269	1	161	2.54e-78	281
k99_0	Mastomys_erythroleucus	95.429	175	8	0	95	269	4	178	9.13e-78	279
k99_2	Calomys_callosus_2	90.060	332	29	4	136	464	842	512	4.70e-122	427
k99_2	Calomys_callosus_2	94.521	73	4	0	4	76	793	721	1.49e-27	113
k99_2	Calomys_callosus_1	90.060	332	29	4	136	464	840	510	4.70e-122	427
k99_2	Calomys_callosus_1	94.521	73	4	0	4	76	791	719	1.49e-27	113
k99_1	Mastomys_natalensis_2	96.939	392	12	0	84	475	925	534	0.0	660
k99_1	Mastomys_natalensis_1	95.663	392	17	0	84	475	908	517	0.0	630
k99_1	Mastomys_erythroleucus	89.541	392	41	0	84	475	925	534	3.13e-143	497
k99_1	Myomys_daltoni	84.439	392	60	1	84	475	925	535	2.54e-109	385
k99_1	Myomys_verreauxi	83.871	372	58	2	104	474	905	535	7.16e-100	353
k99_1	Hylomyscus_simus	84.971	346	51	1	130	475	879	535	9.26e-99	350
k99_1	Mus_baoulei	80.759	395	70	5	84	475	898	507	7.32e-85	303
k99_1	Mus_minutoides	81.303	353	62	3	125	475	884	534	9.53e-79	283
k99_1	Mus_setulosus	80.108	372	74	0	103	474	906	535	4.43e-77	278
k99_1	Apodemus_flavicollis	80.805	323	62	0	152	474	845	523	7.47e-70	254
k99_1	Rattus_exulans	78.877	374	75	4	104	475	888	517	9.67e-69	250
