k59_5	PE8L	98.256	172	2	1	25	196	556	726	4.50e-84	300
k59_5	PE7L	96.000	75	2	1	25	99	1118	1191	3.76e-30	121
k59_5	Mastomys_natalensis_2	94.737	76	3	1	25	100	1066	1140	4.87e-29	117
k59_4	Calomys_callosus_2	91.393	244	18	3	1	242	508	750	2.27e-93	331
k59_4	Calomys_callosus_1	91.393	244	18	3	1	242	506	748	2.27e-93	331
k59_4	PE4L	86.364	66	5	4	243	306	593	656	1.97e-14	69.4
k59_4	PE1L	97.222	36	1	0	241	276	40	5	3.29e-12	62.1
k59_3	PE7L	98.370	184	3	0	74	257	1163	980	3.59e-91	324
k59_3	PE8L	97.826	184	4	0	74	257	601	418	1.67e-89	318
k59_3	Mastomys_natalensis_2	97.283	184	5	0	74	257	1111	928	7.78e-88	313
k59_3	Mastomys_erythroleucus	91.304	184	16	0	74	257	1111	928	1.72e-69	252
k59_3	Mastomys_natalensis_1	96.552	145	5	0	113	257	1055	911	3.72e-66	241
k59_3	Praomys_jacksoni	85.955	178	25	0	74	251	1111	934	3.80e-51	191
k59_1	PE7L	100.000	222	0	0	35	256	779	558	2.32e-117	411
k59_1	PE8L	100.000	217	0	0	35	251	217	1	1.40e-114	401
k59_1	Mastomys_natalensis_2	96.396	222	8	0	35	256	727	506	1.42e-104	368
k59_1	Mastomys_natalensis_1	95.946	222	9	0	35	256	710	489	2.37e-102	361
k59_1	PE1L	98.454	194	3	0	35	228	282	475	8.59e-97	342
k59_1	Mastomys_erythroleucus	91.892	222	18	0	35	256	727	506	2.42e-87	311
k59_1	PE4L	100.000	148	0	0	109	256	592	445	3.18e-76	274
k59_1	Myomys_verreauxi	88.000	200	24	0	57	256	705	506	4.17e-65	237
k59_1	Myomys_daltoni	85.714	203	29	0	54	256	708	506	1.95e-58	215
k59_1	Hylomyscus_simus	86.702	188	25	0	69	256	693	506	9.09e-57	209
k59_1	Apodemus_flavicollis	83.511	188	31	0	69	256	681	494	2.56e-47	178
k59_2	PE7L	96.970	132	4	0	76	207	954	823	1.30e-60	222
k59_2	PE8L	96.899	129	4	0	79	207	389	261	6.05e-59	217
k59_2	Mastomys_natalensis_2	93.151	146	7	3	76	218	902	757	2.81e-57	211
k59_2	PE1L	95.455	132	6	0	76	207	107	238	2.81e-57	211
k59_2	Mastomys_natalensis_1	91.096	146	10	3	76	218	885	740	2.83e-52	195
k59_2	Mastomys_erythroleucus	89.431	123	13	0	85	207	893	771	1.34e-40	156
